Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
B3	14	79	WT	13.886542	-0.70931816
D3	15	128	WT	16.693346	1.4594473
D11	2	178	Null	14.467807	1.685654
B12	13	148	Null	15.7212305	-0.6322354
G12	16	121	Null	15.161796	1.828614
E9	12	120	Null	14.429559	-1.0648909
C7	19	100	HET	16.953188	0.3984531
E3	1	122	WT	16.984303	-2.0525851
E4	13	86	WT	17.055075	0.41780227
E3	18	122	WT	16.375315	0.21698913
E4	7	86	WT	13.675727	-0.3453608
E3	3	122	WT	17.44934	1.3633801
D1	19	91	WT	14.754227	2.656008
B9	10	173	Null	14.86585	2.4145644
E11	20	185	Null	12.974469	1.0987653
G9	2	149	Null	12.446536	0.276745
G11	10	129	Null	15.54087	-0.3125548
G10	3	129	Null	15.728847	-2.572275
G9	17	149	Null	15.296813	1.5590228
C3	3	117	WT	12.69591	-1.1106547
D2	3	98	WT	17.819416	-0.4196241
D8	7	87	HET	13.722707	1.8283839
C5	21	78	HET	15.102174	-1.8242071
F6	17	82	HET	14.262502	-0.039866887
E1	6	101	WT	17.122578	-0.4955584
E12	6	115	Null	16.64136	-1.4109864
