Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D4	21	636	WT	Plate_3	-2.0046418	4.017668
B8	19	64	HET	Plate_5	0.21701746	4.984702
F8	17	557	HET	Plate_3	-0.7245098	3.502046
E5	5	85	HET	Plate_3	1.6658708	1.0075952
D8	5	87	HET	Plate_5	0.8665059	4.0425
C12	24	321	Null	Plate_3_prime	0.2557337	3.3901944
B11	24	53	Null	Plate_3_prime	3.104598	4.225704
C12	19	570	Null	Plate_3	-0.985325	5.6561294
C5	20	84	HET	Plate_3	2.408838	3.6419165
F12	25	647	Null	Plate_3	-4.4901104	-0.4683059
F11	20	100	Null	Plate_3_prime	2.3932104	2.3710856
E3	20	156	WT	Plate_3_prime	0.9115817	-0.9854331
C5	21	78	HET	Plate_5	3.226952	3.3945374
C6	4	71	HET	Plate_5	0.24684502	4.446573
G6	6	125	HET	Plate_3_prime	2.0063417	2.9795265
E8	7	705	HET	Plate_3	-1.4624299	2.3597007
B5	12	98	HET	Plate_3	1.1965348	3.1700318
D4	15	636	WT	Plate_3	1.731856	5.904541
G6	4	109	HET	Plate_3	1.8066156	5.7046633
F8	5	557	HET	Plate_3	-1.155093	4.300164
F9	15	149	Null	Plate_5	1.5603803	3.680291
D7	25	76	HET	Plate_3_prime	1.323073	3.608627
C1	17	67	WT	Plate_3	1.380458	1.6008273
D2	18	98	WT	Plate_5	0.5940374	3.3106322
G12	9	187	Null	Plate_3_prime	1.622233	4.8203278
F2	20	111	WT	Plate_5	0.56187904	3.325664
G2	22	94	WT	Plate_3_prime	-1.1768724	4.3670626
G12	22	481	Null	Plate_3	-1.4976659	4.777535
C7	22	331	HET	Plate_3	1.5944512	5.3489237
D3	5	305	WT	Plate_3	2.0014098	4.9297166
D6	9	126	HET	Plate_3	0.026798902	2.216373
D11	5	178	Null	Plate_5	-0.15123217	4.202315
B4	7	112	WT	Plate_5	0.35220113	3.2350907
G12	21	481	Null	Plate_3	-1.361063	5.5517273
D11	14	216	Null	Plate_3	2.1496146	1.5609133
E2	4	102	WT	Plate_5	1.4549112	3.073495
D12	11	623	Null	Plate_3	-0.06550306	0.5959299
B6	17	133	HET	Plate_3	-0.06357796	3.6504085
D12	10	623	Null	Plate_3	-1.8059566	5.174181
C10	1	125	Null	Plate_5	3.276038	4.2772975
G4	19	388	WT	Plate_3_prime	-1.6257586	4.788031
E7	3	103	HET	Plate_5	3.1224034	2.8457816
E8	10	705	HET	Plate_3	0.48353037	3.0567472
F11	11	329	Null	Plate_3	2.3470266	4.2253075
F4	18	438	WT	Plate_3	1.4724852	5.2122393
C9	12	156	Null	Plate_5	1.1438752	4.856124
F11	11	135	Null	Plate_5	2.693198	4.317989
G11	24	142	Null	Plate_3_prime	-0.44705325	4.289524
B3	22	297	WT	Plate_3	0.6174512	2.819196
D2	25	44	WT	Plate_3_prime	2.9631877	4.456312
D6	11	76	HET	Plate_5	1.7190549	3.5549426
G8	22	358	HET	Plate_3_prime	0.41850755	5.129735
G4	4	100	WT	Plate_5	-1.8083768	2.1538792
B1	13	79	WT	Plate_5	1.2274725	-1.0391368
C8	8	85	HET	Plate_5	3.160823	4.8000107
C12	3	570	Null	Plate_3	-0.3248787	5.701854
C2	7	175	WT	Plate_3	2.2679443	2.848459
D7	12	76	HET	Plate_3_prime	-0.94893426	2.240146
B12	8	531	Null	Plate_3	0.57454234	5.1213546
F4	17	438	WT	Plate_3	2.0054605	4.4254794
G7	9	94	HET	Plate_5	1.135199	5.8065767
C12	1	570	Null	Plate_3	-3.0609806	3.2294555
G10	9	117	Null	Plate_3	-0.61190057	5.393221
F7	1	387	HET	Plate_3	3.0469031	5.1728883
C12	3	570	Null	Plate_3	1.3640834	3.3142076
G3	22	248	WT	Plate_3_prime	-0.6896383	6.109199
D7	4	76	HET	Plate_3_prime	0.6695217	1.7018689
B3	14	297	WT	Plate_3	1.9215873	5.2348967
E3	6	122	WT	Plate_5	0.8189942	-0.9857131
D9	17	135	Null	Plate_5	-0.32900786	2.436743
E3	10	156	WT	Plate_3_prime	2.2126744	4.809197
C3	25	346	WT	Plate_3	-0.64162445	4.933219
F6	3	117	HET	Plate_3_prime	0.9028183	4.205423
F7	17	90	HET	Plate_5	1.057435	5.740783
F12	5	647	Null	Plate_3	1.5638628	5.710296
D10	9	135	Null	Plate_3	-0.62586266	4.280912
G4	6	388	WT	Plate_3_prime	0.7953395	4.890324
F4	25	438	WT	Plate_3	1.2540696	5.7087884
F1	8	88	WT	Plate_5	1.5353063	4.519741
B8	25	797	HET	Plate_3	0.43047965	-0.44599056
B9	4	173	Null	Plate_5	-1.0408744	4.993533
D8	8	87	HET	Plate_5	0.8444004	2.396848
B12	13	531	Null	Plate_3	-1.1445801	2.855611
G3	5	121	WT	Plate_5	-0.087248355	0.6914835
G7	8	226	HET	Plate_3	-0.6118228	2.0313067
B7	3	78	HET	Plate_5	-0.5813121	5.5154614
B8	21	797	HET	Plate_3	-1.4912058	3.001075
F5	20	47	HET	Plate_3_prime	0.71964073	2.4303718
E1	16	54	WT	Plate_3	3.5533342	1.3381338
C8	25	628	HET	Plate_3	-0.8353496	3.8891757
C4	1	666	WT	Plate_3	-2.8656538	3.3578222
G11	8	142	Null	Plate_3_prime	3.2035623	3.812094
B11	6	279	Null	Plate_3	0.32674152	1.5901399
B9	8	173	Null	Plate_5	1.6084998	-1.692646
F5	18	75	HET	Plate_3	0.6293262	3.4883587
G8	11	625	HET	Plate_3	0.7096316	3.134212
B7	16	257	HET	Plate_3	2.2608612	1.3954021
D4	5	636	WT	Plate_3	-1.1885605	4.9837704
D2	25	44	WT	Plate_3_prime	1.1270928	4.8540316
E3	10	122	WT	Plate_5	3.4005263	4.0063915
C5	14	84	HET	Plate_3	2.0768166	4.0500913
C12	20	570	Null	Plate_3	-1.5381118	5.0515175
D8	7	681	HET	Plate_3	-0.72672474	2.134842
G1	19	55	WT	Plate_3	3.5042439	3.6828668
C3	23	346	WT	Plate_3	0.2917276	0.86227787
E12	14	607	Null	Plate_3	-1.2202636	4.488037
D7	20	76	HET	Plate_3_prime	1.2813661	3.6639228
B12	5	531	Null	Plate_3	1.9197782	4.1695724
G5	17	61	HET	Plate_5	1.4124249	1.9059572
E9	8	26	Null	Plate_3_prime	2.5755932	0.018966826
C9	9	156	Null	Plate_5	-0.53876054	5.6486616
D2	23	152	WT	Plate_3	2.6866174	4.8258696
B10	6	49	Null	Plate_3_prime	1.5101568	1.8883147
F4	12	438	WT	Plate_3	1.7149627	2.1444097
D6	8	126	HET	Plate_3	2.2346377	4.512853
E1	8	101	WT	Plate_5	2.8925345	4.1592865
B6	19	104	HET	Plate_3_prime	-0.7449688	5.3028617
C8	12	628	HET	Plate_3	-2.1468527	4.0948195
B4	22	219	WT	Plate_3_prime	2.5591888	5.136032
D10	7	51	Null	Plate_3_prime	-0.09650968	4.3875775
C12	7	321	Null	Plate_3_prime	1.7285763	5.780072
B8	10	797	HET	Plate_3	-1.7004393	2.1820667
F7	11	387	HET	Plate_3	1.9147882	4.992724
F7	12	90	HET	Plate_5	0.84293556	2.02893
E7	5	103	HET	Plate_5	2.9375541	0.040608402
E12	11	115	Null	Plate_5	2.8775072	3.3439417
B12	9	200	Null	Plate_3_prime	-1.729581	3.9524357
B7	1	257	HET	Plate_3	3.0120525	0.1430752
