Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
C4	7	102	WT	Plate_4	14.418527	6.3378587
G11	15	118	Null	Plate_4	14.715546	6.6294503
D4	13	144	WT	Plate_4	11.578128	3.1528587
D2	23	69	Null	Plate_4	15.5308695	2.8438964
D3	2	144	WT	Plate_4	12.639795	5.160122
D7	19	125	WT	Plate_4	15.459493	3.3522496
B3	3	133	WT	Plate_4	13.305935	4.7282677
F7	2	157	WT	Plate_4	13.500668	7.229126
F4	20	127	WT	Plate_4	15.433721	3.7803204
G6	5	114	WT	Plate_4	10.704618	4.7422442
B10	2	83	WT	Plate_4	14.724094	6.14245
B2	16	111	WT	Plate_4	13.677856	2.26511
D11	17	138	WT	Plate_4	14.978128	6.444937
C3	2	112	WT	Plate_4	14.50838	2.5025587
B2	25	111	WT	Plate_4	11.674307	6.988428
E4	6	192	WT	Plate_4	12.825843	6.3588815
D3	12	144	WT	Plate_4	11.340663	7.1727786
F7	12	157	WT	Plate_4	11.882215	4.616257
E11	9	145	WT	Plate_4	10.826892	3.5778635
G4	5	176	WT	Plate_4	13.701659	5.945085
E9	1	113	WT	Plate_4	12.890375	6.011051
D3	9	144	WT	Plate_4	13.288875	3.397556
C5	19	111	Null	Plate_4	12.221353	6.490808
B3	22	133	WT	Plate_4	14.047628	6.125941
