Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D4	24	358	WT	0.46731102	-4.787101
C11	19	54	Null	3.162443	-2.5707166
G4	12	388	WT	3.1590781	-6.7931476
E12	17	328	Null	3.67769	-3.6118717
G9	23	44	Null	2.1047966	-0.3022859
G8	13	358	HET	0.92860323	-2.0290523
D7	25	76	HET	4.126671	-2.7412288
F4	8	284	WT	1.5890976	-4.43353
D3	25	168	WT	1.7958442	-3.2898788
G3	20	248	WT	4.6495423	-2.082267
E2	6	60	WT	3.4941592	-0.36977142
D6	13	99	HET	0.27183917	0.43027028
C3	5	138	WT	-0.33840096	-0.17549804
E12	17	328	Null	0.32561323	-1.2852917
D3	13	168	WT	4.8803616	-2.6252518
B8	23	107	HET	2.1024349	-4.8219237
C6	19	98	HET	4.7856956	0.2644137
F6	15	117	HET	2.4740393	0.1586267
G10	17	72	Null	1.9821202	0.06986478
B4	4	219	WT	1.3183838	-2.0159974
G2	24	94	WT	3.4005342	0.4512152
G8	8	358	HET	0.15030685	-2.40026
D10	12	51	Null	4.8212657	-0.682613
D4	4	358	WT	3.555311	-3.9666064
G2	14	94	WT	4.0907974	0.32805288
D12	24	193	Null	1.8822703	-3.7369626
G3	16	248	WT	4.9921827	-3.0153508
B3	20	77	WT	0.27243543	-3.2511103
B3	20	77	WT	1.9401976	-4.8770084
C12	24	321	Null	0.52707654	-4.79178
D11	25	100	Null	2.2320802	-1.8570055
C12	21	321	Null	3.80537	-4.097336
G12	20	187	Null	0.6931379	-1.598649
G8	4	358	HET	0.40340087	-2.7831118
F3	25	174	WT	3.0587885	-2.6534772
D4	20	358	WT	2.4311326	-3.955015
E12	8	328	Null	0.54550654	-0.7376224
B10	24	49	Null	1.8116075	0.2182474
E4	22	246	WT	1.1878475	-4.642892
D12	15	193	Null	0.37085515	-3.7882705
F3	15	174	WT	4.580129	-2.989956
E12	24	328	Null	3.2773218	-3.831716
G5	9	66	HET	3.4463172	1.0149318
B12	9	200	Null	3.2766752	-4.9618325
G8	4	358	HET	0.296776	-2.032418
G11	24	142	Null	4.014284	-3.5447338
F12	18	125	Null	0.107118905	-0.30922478
