Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	20	D4	WT	636	2.8760328	0.54231775
Plate_3	7	B2	WT	139	2.349382	1.4237114
Plate_5	9	C10	Null	125	-0.23947328	2.0889275
Plate_3_prime	21	F2	WT	91	1.4856925	-3.7004886
Plate_3	15	C4	WT	666	3.316994	-0.42218912
Plate_5	7	C12	Null	119	1.451852	1.6248927
Plate_5	13	D1	WT	91	-1.3603153	0.95076
Plate_3	16	B4	WT	559	1.9165319	-2.6810062
Plate_3_prime	22	C9	Null	42	2.9084203	-0.5869326
Plate_3	14	E12	Null	607	-1.5486225	-1.681048
Plate_3	13	C4	WT	666	2.7359345	1.3199085
Plate_3	1	G12	Null	481	1.6416849	0.12906152
Plate_5	8	F10	Null	152	2.6818745	-1.9685956
Plate_5	13	D12	Null	106	-1.6525971	1.1365238
Plate_5	9	E3	WT	122	1.0919352	2.5479732
Plate_3	9	G4	WT	386	2.1871696	2.3321254
Plate_5	19	C11	Null	154	1.4290979	-1.1291715
Plate_3	7	F4	WT	438	2.8058534	-0.08114201
Plate_3	18	F4	WT	438	1.227047	-1.4983238
Plate_3	10	F4	WT	438	-1.8191662	-1.6729382
Plate_3_prime	7	D3	WT	168	0.028987443	1.4633213
Plate_3	16	E1	WT	54	-1.8903065	0.98693734
Plate_3	10	F4	WT	438	1.1168041	-0.78206444
Plate_3_prime	17	G3	WT	248	0.9073017	1.0813682
Plate_3_prime	18	C3	WT	138	0.4440116	2.2123082
Plate_3_prime	7	F11	Null	100	0.89001614	0.70137346
Plate_3_prime	17	G11	Null	142	0.18858272	-1.8377944
Plate_3_prime	19	C12	Null	321	3.6595497	0.86975574
Plate_3	25	D4	WT	636	6.2462583	1.3037741
Plate_3	8	G12	Null	481	3.8045015	-0.17602111
Plate_5	6	B12	Null	148	2.698018	0.10537669
Plate_5	1	G12	Null	121	2.454378	1.0242244
Plate_3	14	G11	Null	250	2.826748	0.26593184
Plate_3_prime	12	C3	WT	138	-0.90793705	-1.0292145
Plate_5	6	C10	Null	125	2.6618485	-3.728374
