Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
G10	34	88	Null	Plate_6	1.4237396	0.03293406
E11	29	232	WT	Plate_6	2.106654	1.3310493
G2	30	114	Null	Plate_6	1.2526073	1.0152473
B2	10	129	WT	Plate_6	10.345499	2.3545337
G3	36	123	Null	Plate_6	3.6879072	-1.4703345
E4	14	131	WT	Plate_6	5.6941495	-0.108268805
E5	36	172	WT	Plate_6	3.5502696	-1.0056908
E10	20	224	WT	Plate_6	4.4107084	1.4033195
G5	16	131	Null	Plate_6	1.7642374	0.803832
E3	36	161	WT	Plate_6	5.954914	-0.04617302
G11	12	114	Null	Plate_6	2.671254	-1.1368144
G9	2	87	Null	Plate_6	4.794249	1.5173551
G2	10	114	Null	Plate_6	4.0062675	-1.5669866
B7	31	102	WT	Plate_6	10.070929	1.5391371
G9	35	87	Null	Plate_6	3.8448408	-0.29060656
D4	35	40	Null	Plate_6	8.436403	3.42934
B9	12	135	WT	Plate_6	10.1639	2.247159
E5	26	172	WT	Plate_6	5.754584	-0.54652286
G10	23	88	Null	Plate_6	4.075525	-1.3964068
G9	7	87	Null	Plate_6	1.0330243	1.048504
E5	4	172	WT	Plate_6	4.9054527	0.93345684
D9	14	74	Null	Plate_6	9.550235	1.5109794
G7	22	128	Null	Plate_6	1.3788915	0.54609984
E11	22	232	WT	Plate_6	1.4317077	-1.1521803
B6	28	93	WT	Plate_6	10.424965	3.238574
E7	14	194	WT	Plate_6	4.375688	1.3530939
D7	35	68	Null	Plate_6	10.442616	1.1567473
B2	7	129	WT	Plate_6	9.747207	1.7727627
B8	14	92	WT	Plate_6	9.771628	1.5768137
G5	11	131	Null	Plate_6	1.6271925	2.1090834
E7	17	194	WT	Plate_6	2.0115895	0.7831731
E10	15	224	WT	Plate_6	3.6797264	-1.4971486
B2	12	129	WT	Plate_6	10.804117	2.7806191
E4	20	131	WT	Plate_6	2.0758426	2.2520525
E8	8	215	WT	Plate_6	1.926863	0.82079995
D7	26	68	Null	Plate_6	8.325015	3.2262826
E11	27	232	WT	Plate_6	1.333684	1.4510305
D5	29	50	Null	Plate_6	8.068581	2.6052773
D5	10	50	Null	Plate_6	8.80566	3.346851
E2	11	141	WT	Plate_6	4.8849316	0.7657183
B9	33	135	WT	Plate_6	11.105387	2.1651235
E3	31	161	WT	Plate_6	2.5275853	1.7336817
D2	15	53	Null	Plate_6	8.71147	3.4949746
B8	36	92	WT	Plate_6	9.734881	1.6953349
E8	3	215	WT	Plate_6	2.3777153	-0.8566264
E4	14	131	WT	Plate_6	2.5755332	1.0015612
D11	26	67	Null	Plate_6	9.332343	1.2899166
E8	8	215	WT	Plate_6	4.691953	-1.6458786
G11	8	114	Null	Plate_6	2.1327035	0.8047675
G9	4	87	Null	Plate_6	4.5917444	-0.87557983
G3	1	123	Null	Plate_6	5.5330596	-1.0914795
E11	30	232	WT	Plate_6	6.4945807	1.028799
B10	15	124	WT	Plate_6	9.787831	1.954535
E7	22	194	WT	Plate_6	5.2389407	0.60091615
E11	9	232	WT	Plate_6	2.0870762	2.0205183
E9	16	251	WT	Plate_6	1.6570485	-0.31900385
E3	15	161	WT	Plate_6	5.3022933	-0.3061577
B9	16	135	WT	Plate_6	11.393801	1.7871577
B10	30	124	WT	Plate_6	10.789232	2.739429
E3	22	161	WT	Plate_6	1.7415504	2.901151
G11	1	114	Null	Plate_6	1.9623919	-0.085079685
B10	30	124	WT	Plate_6	9.787432	2.8336613
E9	33	251	WT	Plate_6	1.3892273	1.4493773
E11	1	232	WT	Plate_6	2.6132271	0.06039919
G7	21	128	Null	Plate_6	4.626129	-2.1037428
B6	24	93	WT	Plate_6	10.285596	2.0369518
B2	21	129	WT	Plate_6	10.469524	2.7084033
E3	29	161	WT	Plate_6	3.1532843	2.6361706
E10	27	224	WT	Plate_6	2.8432498	0.075332075
B2	3	129	WT	Plate_6	9.494074	3.2317638
B3	9	116	WT	Plate_6	9.395779	3.1955838
D6	11	54	Null	Plate_6	8.53765	1.4099579
E8	20	215	WT	Plate_6	5.2056475	0.90279675
D3	4	55	Null	Plate_6	8.381849	3.3340425
