Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
F12	18	125	Null	Plate_3_prime	-6.2761106	0.15060283
B4	13	219	WT	Plate_3_prime	-4.761542	1.8883201
E3	16	155	WT	Plate_3_prime	-4.4593496	0.92440957
G11	22	142	Null	Plate_3_prime	-3.2506557	-0.00065206963
G10	2	72	Null	Plate_3_prime	-4.6628027	-2.417303
G3	16	248	WT	Plate_3_prime	-5.100921	-0.29612982
D4	18	358	WT	Plate_3_prime	-5.97784	3.6609385
G4	8	388	WT	Plate_3_prime	-4.2467003	1.7064478
C12	18	321	Null	Plate_3_prime	-4.7755246	2.3721921
F4	5	284	WT	Plate_3_prime	-6.590647	2.2522197
E3	14	155	WT	Plate_3_prime	-5.096564	-0.39518
C12	21	321	Null	Plate_3_prime	-3.933985	0.5114296
E3	24	155	WT	Plate_3_prime	-3.9994862	1.2651523
B3	14	76	WT	Plate_3_prime	-3.5134485	-0.08396839
G4	18	388	WT	Plate_3_prime	-4.386463	3.232209
F4	15	284	WT	Plate_3_prime	-6.508237	2.3812454
D3	21	168	WT	Plate_3_prime	-4.982564	1.7466599
G4	23	388	WT	Plate_3_prime	-5.161673	0.25945827
B3	25	76	WT	Plate_3_prime	-5.7992964	0.5368424
F4	25	284	WT	Plate_3_prime	-6.1111155	3.7481635
F11	19	100	Null	Plate_3_prime	-4.2204075	0.35329378
E12	9	328	Null	Plate_3_prime	-6.437575	5.0435576
F11	5	100	Null	Plate_3_prime	-3.599194	1.59984
D12	23	193	Null	Plate_3_prime	-3.2037199	0.52733374
G11	3	142	Null	Plate_3_prime	-4.626072	0.1961094
G11	17	142	Null	Plate_3_prime	-2.9448326	-1.2644984
G3	13	248	WT	Plate_3_prime	-3.347798	0.34720108
B12	23	200	Null	Plate_3_prime	-5.800561	2.7950199
G4	8	388	WT	Plate_3_prime	-5.01827	3.163198
G4	6	388	WT	Plate_3_prime	-4.0508347	1.9808289
D12	9	193	Null	Plate_3_prime	-5.1887355	3.721122
G11	23	142	Null	Plate_3_prime	-5.897182	0.044028282
G2	17	94	WT	Plate_3_prime	-5.282529	-2.619033
G3	23	248	WT	Plate_3_prime	-2.6103628	-1.8874383
C4	19	127	WT	Plate_3_prime	-5.109476	1.9266313
D12	24	193	Null	Plate_3_prime	-4.477559	0.72327214
E12	24	328	Null	Plate_3_prime	-4.5161066	3.942635
E4	5	246	WT	Plate_3_prime	-7.2080016	1.8616905
E4	13	246	WT	Plate_3_prime	-3.4824638	-0.07334494
E12	20	328	Null	Plate_3_prime	-4.954075	3.7763436
C3	24	137	WT	Plate_3_prime	-4.0629783	0.97182393
C2	6	39	WT	Plate_3_prime	-5.724945	-2.0858843
C12	24	321	Null	Plate_3_prime	-5.114056	1.1759952
F12	25	125	Null	Plate_3_prime	-4.4759316	2.6831784
D3	15	168	WT	Plate_3_prime	-5.4596534	1.3160981
G4	25	388	WT	Plate_3_prime	-6.6384425	1.9620445
D4	12	358	WT	Plate_3_prime	-6.9353485	0.6273266
C12	3	321	Null	Plate_3_prime	-3.734335	3.0143738
C4	19	127	WT	Plate_3_prime	-4.8608575	2.1157084
B3	25	76	WT	Plate_3_prime	-5.2048354	1.8135376
B12	24	200	Null	Plate_3_prime	-5.115118	2.4617937
F11	10	100	Null	Plate_3_prime	-2.442477	-1.3512965
B11	24	53	Null	Plate_3_prime	-2.891998	1.1509868
D4	19	358	WT	Plate_3_prime	-3.4436011	1.7469685
E4	15	246	WT	Plate_3_prime	-3.9308608	-0.10775167
G3	23	248	WT	Plate_3_prime	-3.938844	0.46582192
E11	15	59	Null	Plate_3_prime	-3.9384725	1.4174421
B4	25	219	WT	Plate_3_prime	-6.630462	1.5354848
G2	24	94	WT	Plate_3_prime	-4.5288267	-2.871691
E12	18	328	Null	Plate_3_prime	-6.2106075	3.4680984
G3	18	248	WT	Plate_3_prime	-5.6468625	1.9010524
G4	23	388	WT	Plate_3_prime	-6.5138216	5.13175
D4	8	358	WT	Plate_3_prime	-4.885376	0.8068642
E4	23	246	WT	Plate_3_prime	-4.259673	2.5042958
D4	9	358	WT	Plate_3_prime	-7.8347683	1.029713
